Frequency (Hz)	Level (dB)
5031.250000	-69.295776
5046.875000	-69.303429
5062.500000	-72.099861
5078.125000	-77.810432
5093.750000	-71.735451
5109.375000	-64.163300
5125.000000	-57.040596
5140.625000	-57.786247
5156.250000	-79.155891
5171.875000	-68.126549
5187.500000	-64.822639
5203.125000	-61.362549
5218.750000	-65.996330
5234.375000	-72.961273
5250.000000	-82.801842
5265.625000	-86.724442
5281.250000	-61.726875
5296.875000	-55.597836
5312.500000	-65.955193
5328.125000	-63.132965
5343.750000	-70.350197
5359.375000	-66.555923
5375.000000	-66.602013
5390.625000	-74.558395
5406.250000	-69.507515
5421.875000	-62.361710
5437.500000	-59.919678
5453.125000	-61.840176
5468.750000	-64.155296
5484.375000	-66.519905
5500.000000	-70.633896
5515.625000	-69.516273
5531.250000	-69.815399
5546.875000	-69.915558
5562.500000	-70.346962
5578.125000	-78.204765
5593.750000	-65.331734
5609.375000	-56.456039
5625.000000	-58.379272
5640.625000	-62.248272
5656.250000	-66.543961
5671.875000	-74.521538
5687.500000	-65.013237
5703.125000	-68.990112
5718.750000	-76.855560
5734.375000	-76.562943
5750.000000	-62.653275
5765.625000	-60.778084
5781.250000	-67.079643
5796.875000	-82.106689
5812.500000	-69.125404
5828.125000	-65.578850
5843.750000	-69.539093
5859.375000	-79.567444
5875.000000	-64.575470
5890.625000	-64.872757
5906.250000	-71.363487
5921.875000	-58.609642
5937.500000	-56.715950
5953.125000	-59.859814
5968.750000	-63.583477
5984.375000	-67.108391
6000.000000	-61.495171
6015.625000	-67.429276
6031.250000	-72.601952
6046.875000	-83.986168
6062.500000	-79.130615
6078.125000	-84.293510
6093.750000	-75.266808
6109.375000	-68.909111
6125.000000	-66.591278
6140.625000	-72.616295
6156.250000	-75.270828
6171.875000	-80.120522
6187.500000	-73.246689
6203.125000	-75.622055
6218.750000	-77.066071
6234.375000	-71.774033
6250.000000	-61.870899
6265.625000	-61.545582
6281.250000	-71.457458
6296.875000	-66.265587
6312.500000	-71.264610
6328.125000	-70.537727
6343.750000	-70.316238
6359.375000	-69.034966
6375.000000	-67.801399
6390.625000	-66.912910
6406.250000	-66.836159
6421.875000	-71.498505
6437.500000	-75.327324
6453.125000	-75.170235
6468.750000	-76.360039
6484.375000	-77.832031
6500.000000	-77.541473
6515.625000	-78.260368
6531.250000	-77.383141
6546.875000	-70.920563
6562.500000	-66.285889
6578.125000	-67.583084
6593.750000	-74.319466
6609.375000	-77.445076
6625.000000	-75.767807
6640.625000	-74.493004
6656.250000	-75.404144
6671.875000	-78.174332
6687.500000	-81.835793
6703.125000	-84.825790
6718.750000	-84.374641
6734.375000	-81.720871
6750.000000	-79.683167
6765.625000	-77.902756
6781.250000	-76.452744
6796.875000	-76.698494
6812.500000	-79.387543
6828.125000	-84.987892
6843.750000	-89.595833
6859.375000	-85.867805
6875.000000	-81.749565
6890.625000	-79.586357
6906.250000	-78.346802
6921.875000	-77.088402
6937.500000	-76.346161
6953.125000	-77.125610
6968.750000	-79.662308
6984.375000	-82.779167
7000.000000	-84.905159
7015.625000	-85.865089
7031.250000	-84.520142
7046.875000	-83.196594
7062.500000	-82.940636
7078.125000	-83.682373
7093.750000	-84.824188
7109.375000	-85.126312
7125.000000	-86.761276
7140.625000	-83.945854
7156.250000	-83.965912
7171.875000	-83.890022
7187.500000	-76.444855
7203.125000	-81.643059
7218.750000	-70.048302
7234.375000	-73.696938
7250.000000	-78.585335
7265.625000	-80.376038
7281.250000	-79.102478
7296.875000	-77.098907
7312.500000	-73.315331
7328.125000	-75.328491
7343.750000	-73.165787
7359.375000	-73.317215
7375.000000	-80.627350
7390.625000	-72.859848
7406.250000	-72.687157
7421.875000	-82.423279
7437.500000	-75.204971
7453.125000	-73.839348
7468.750000	-74.578583
7484.375000	-75.419556
7500.000000	-79.277390
7515.625000	-76.486435
7531.250000	-74.661064
7546.875000	-78.267601
7562.500000	-80.419876
7578.125000	-77.740448
7593.750000	-76.972153
7609.375000	-75.224991
7625.000000	-69.130859
7640.625000	-80.165253
7656.250000	-81.261589
7671.875000	-74.121468
7687.500000	-71.032372
7703.125000	-70.665314
7718.750000	-76.833405
7734.375000	-80.191200
7750.000000	-90.990158
7765.625000	-80.395859
7781.250000	-68.978630
7796.875000	-68.174339
7812.500000	-70.897095
7828.125000	-71.576355
7843.750000	-69.099777
7859.375000	-71.144897
7875.000000	-73.229912
7890.625000	-71.222908
7906.250000	-86.678276
7921.875000	-73.604645
7937.500000	-73.071152
7953.125000	-72.569077
7968.750000	-71.990028
7984.375000	-71.414421
