Frequency (Hz)	Level (dB)
2234.375000	-69.290352
2250.000000	-66.666351
2265.625000	-56.025784
2281.250000	-45.221359
2296.875000	-41.189507
2312.500000	-36.202579
2328.125000	-33.171410
2343.750000	-34.438934
2359.375000	-36.739815
2375.000000	-38.680733
2390.625000	-44.541985
2406.250000	-51.165150
2421.875000	-54.440197
2437.500000	-61.734734
2453.125000	-47.307308
2468.750000	-36.804298
2484.375000	-32.843227
2500.000000	-31.937918
2515.625000	-32.352959
2531.250000	-36.890640
2546.875000	-40.470547
2562.500000	-49.600746
2578.125000	-59.362045
2593.750000	-50.457993
2609.375000	-48.085331
2625.000000	-46.174339
2640.625000	-44.078045
2656.250000	-39.765770
2671.875000	-39.381580
2687.500000	-42.551968
2703.125000	-50.276501
2718.750000	-48.613464
2734.375000	-54.595245
2750.000000	-55.755375
2765.625000	-50.817978
2781.250000	-50.861393
2796.875000	-50.742786
2812.500000	-43.559700
2828.125000	-40.816429
2843.750000	-42.313679
2859.375000	-43.394154
2875.000000	-43.368599
2890.625000	-53.744530
2906.250000	-55.307529
2921.875000	-47.732986
2937.500000	-45.377819
2953.125000	-42.933609
2968.750000	-42.383198
2984.375000	-40.909195
3000.000000	-39.941818
3015.625000	-41.507149
3031.250000	-40.612286
3046.875000	-40.801868
3062.500000	-55.062149
3078.125000	-62.012039
3093.750000	-54.823483
3109.375000	-47.987686
3125.000000	-46.304066
3140.625000	-43.066830
3156.250000	-40.878887
3171.875000	-40.344025
3187.500000	-45.564812
3203.125000	-59.089596
3218.750000	-50.649464
3234.375000	-50.687153
3250.000000	-55.470055
3265.625000	-66.264099
3281.250000	-62.087593
3296.875000	-50.084549
3312.500000	-41.225716
3328.125000	-39.553436
3343.750000	-40.905148
3359.375000	-42.031151
3375.000000	-44.778362
3390.625000	-51.687912
3406.250000	-54.295483
3421.875000	-53.687885
3437.500000	-63.542377
3453.125000	-51.240082
3468.750000	-40.941967
3484.375000	-37.193100
3500.000000	-35.983479
3515.625000	-35.966892
3531.250000	-37.210415
3546.875000	-47.391582
3562.500000	-45.180779
3578.125000	-45.495609
3593.750000	-52.259384
3609.375000	-46.697773
3625.000000	-53.381809
3640.625000	-46.880798
3656.250000	-42.282196
3671.875000	-41.869411
3687.500000	-45.736107
3703.125000	-49.220783
3718.750000	-48.984737
3734.375000	-55.844269
3750.000000	-68.265450
3765.625000	-79.026436
3781.250000	-79.347778
3796.875000	-60.286823
3812.500000	-53.059048
3828.125000	-51.745659
3843.750000	-54.640957
3859.375000	-50.722538
3875.000000	-52.818295
3890.625000	-59.761219
3906.250000	-73.021240
3921.875000	-85.342804
3937.500000	-97.711693
3953.125000	-89.291779
3968.750000	-83.570496
3984.375000	-67.050369
4000.000000	-59.733387
4015.625000	-59.488651
4031.250000	-66.994476
4046.875000	-62.431435
4062.500000	-61.970882
4078.125000	-66.504356
4093.750000	-69.373253
4109.375000	-60.774433
4125.000000	-58.692276
4140.625000	-61.556770
4156.250000	-61.747486
