Frequency (Hz)	Level (dB)
5703.125000	-63.246529
5718.750000	-65.735962
5734.375000	-70.670845
5750.000000	-68.266388
5765.625000	-58.416557
5781.250000	-55.890228
5796.875000	-60.413940
5812.500000	-72.341309
5828.125000	-68.859299
5843.750000	-68.579201
5859.375000	-80.379044
5875.000000	-79.305870
5890.625000	-69.819695
5906.250000	-66.777725
5921.875000	-67.120598
5937.500000	-60.006752
5953.125000	-58.128418
5968.750000	-64.733414
5984.375000	-74.173737
6000.000000	-67.298241
6015.625000	-71.665527
6031.250000	-102.947044
6046.875000	-82.085548
6062.500000	-81.250275
6078.125000	-84.588097
6093.750000	-70.635445
6109.375000	-64.586151
6125.000000	-73.645729
6140.625000	-73.252808
6156.250000	-67.562904
6171.875000	-63.725422
6187.500000	-66.357826
6203.125000	-63.116673
6218.750000	-68.296684
6234.375000	-71.198433
6250.000000	-66.394836
6265.625000	-74.722878
6281.250000	-69.229294
6296.875000	-71.469841
6312.500000	-69.754036
6328.125000	-71.689651
6343.750000	-78.454597
6359.375000	-76.840698
6375.000000	-73.892303
6390.625000	-81.267708
6406.250000	-85.874252
6421.875000	-105.585754
6437.500000	-108.002350
6453.125000	-116.928642
6468.750000	-116.728775
6484.375000	-126.526863
6500.000000	-122.398987
6515.625000	-125.929558
6531.250000	-116.777306
6546.875000	-103.575851
6562.500000	-100.764214
6578.125000	-78.495895
6593.750000	-69.859833
6609.375000	-70.017754
6625.000000	-85.742554
6640.625000	-70.057907
6656.250000	-69.888702
6671.875000	-78.565811
6687.500000	-99.555260
6703.125000	-102.732002
6718.750000	-118.836174
6734.375000	-116.395409
6750.000000	-111.292671
6765.625000	-101.064034
6781.250000	-94.366722
6796.875000	-90.031403
6812.500000	-88.395164
6828.125000	-87.737526
6843.750000	-85.417114
6859.375000	-86.172775
6875.000000	-78.532066
6890.625000	-91.420158
6906.250000	-71.399918
6921.875000	-67.038254
6937.500000	-65.941307
6953.125000	-67.577072
6968.750000	-71.863503
6984.375000	-80.882454
7000.000000	-110.830429
7015.625000	-97.674202
7031.250000	-101.496063
7046.875000	-80.206390
7062.500000	-71.348351
7078.125000	-68.409210
7093.750000	-66.566811
7109.375000	-67.076279
7125.000000	-73.376549
7140.625000	-74.207069
7156.250000	-72.555122
7171.875000	-80.754906
7187.500000	-73.206215
7203.125000	-66.422180
7218.750000	-66.395203
7234.375000	-74.424179
7250.000000	-75.655128
7265.625000	-65.153603
7281.250000	-66.311554
7296.875000	-83.240791
7312.500000	-73.185532
7328.125000	-76.687408
7343.750000	-73.485291
7359.375000	-88.564705
7375.000000	-71.296684
7390.625000	-73.998642
7406.250000	-86.320175
7421.875000	-76.682655
7437.500000	-75.426590
7453.125000	-79.614388
7468.750000	-82.043915
7484.375000	-92.338867
7500.000000	-92.489563
7515.625000	-93.760941
7531.250000	-97.691483
7546.875000	-101.961563
7562.500000	-92.519852
7578.125000	-87.911873
7593.750000	-84.979752
7609.375000	-89.785995
7625.000000	-85.817307
7640.625000	-86.763580
7656.250000	-83.097084
7671.875000	-86.063988
7687.500000	-101.446991
7703.125000	-91.118134
7718.750000	-84.003807
7734.375000	-73.685303
7750.000000	-69.578827
7765.625000	-74.172691
7781.250000	-83.604980
7796.875000	-93.003815
7812.500000	-84.270226
7828.125000	-93.491554
7843.750000	-91.483711
7859.375000	-93.859192
7875.000000	-87.299576
7890.625000	-76.292397
7906.250000	-69.791748
7921.875000	-69.999786
7937.500000	-75.569069
7953.125000	-77.577438
7968.750000	-81.876579
7984.375000	-80.561317
