Frequency (Hz)	Level (dB)
1453.125000	-83.431572
1468.750000	-76.845467
1484.375000	-69.678024
1500.000000	-63.656738
1515.625000	-59.861088
1531.250000	-62.123718
1546.875000	-69.918137
1562.500000	-79.228920
1578.125000	-89.265366
1593.750000	-88.552292
1609.375000	-78.753136
1625.000000	-80.018059
1640.625000	-85.291603
1656.250000	-99.341743
1671.875000	-80.009857
1687.500000	-69.090088
1703.125000	-60.007858
1718.750000	-57.298512
1734.375000	-59.904373
1750.000000	-66.301437
1765.625000	-86.772415
1781.250000	-79.113068
1796.875000	-88.674713
1812.500000	-96.816238
1828.125000	-93.656456
1843.750000	-80.136765
1859.375000	-69.256050
1875.000000	-59.941319
1890.625000	-57.220264
1906.250000	-56.197117
1921.875000	-56.037971
1937.500000	-54.720173
1953.125000	-59.253639
1968.750000	-64.474815
1984.375000	-78.083099
2000.000000	-87.114891
2015.625000	-80.281113
2031.250000	-68.193184
2046.875000	-55.541630
2062.500000	-46.788937
2078.125000	-43.645035
2093.750000	-40.787380
2109.375000	-41.087250
2125.000000	-43.015278
2140.625000	-45.428875
2156.250000	-49.010368
2171.875000	-60.658897
2187.500000	-69.152023
2203.125000	-62.831745
2218.750000	-60.024101
2234.375000	-44.249050
2250.000000	-38.124413
2265.625000	-33.982166
2281.250000	-29.593323
2296.875000	-28.420040
2312.500000	-29.329100
2328.125000	-32.625183
2343.750000	-36.260437
2359.375000	-51.702656
2375.000000	-52.956894
2390.625000	-72.588623
2406.250000	-62.001179
2421.875000	-47.599979
2437.500000	-39.411003
2453.125000	-35.216835
2468.750000	-34.200298
2484.375000	-37.402504
2500.000000	-42.496201
2515.625000	-51.720913
2531.250000	-66.814522
2546.875000	-61.708000
2562.500000	-61.050392
2578.125000	-62.178547
2593.750000	-71.345695
2609.375000	-80.328743
2625.000000	-51.840015
2640.625000	-45.470654
2656.250000	-45.013073
2671.875000	-47.354202
2687.500000	-54.346592
2703.125000	-64.038864
2718.750000	-76.358757
2734.375000	-76.297295
2750.000000	-83.305412
2765.625000	-80.854935
2781.250000	-77.529053
2796.875000	-72.753479
2812.500000	-51.729301
2828.125000	-44.726986
2843.750000	-39.461239
2859.375000	-35.630871
2875.000000	-35.595150
2890.625000	-42.429382
2906.250000	-45.598400
2921.875000	-48.253345
2937.500000	-56.361652
2953.125000	-56.625648
2968.750000	-54.376663
2984.375000	-43.883133
3000.000000	-37.824787
3015.625000	-32.236507
3031.250000	-28.166668
3046.875000	-26.419361
3062.500000	-26.676201
3078.125000	-28.418133
3093.750000	-34.543339
3109.375000	-43.231388
3125.000000	-62.143948
3140.625000	-57.893009
3156.250000	-51.063290
3171.875000	-62.361771
3187.500000	-36.261833
3203.125000	-29.860806
3218.750000	-27.390762
3234.375000	-25.393631
3250.000000	-25.830353
3265.625000	-28.015432
3281.250000	-30.533760
3296.875000	-38.843502
3312.500000	-43.466476
3328.125000	-46.826771
3343.750000	-48.624401
3359.375000	-45.317070
3375.000000	-43.091763
3390.625000	-33.947128
3406.250000	-30.521957
3421.875000	-29.069757
3437.500000	-30.157637
3453.125000	-31.897346
3468.750000	-32.803917
3484.375000	-35.737160
3500.000000	-42.376598
3515.625000	-45.967438
3531.250000	-43.849190
3546.875000	-43.818760
3562.500000	-43.248089
3578.125000	-43.709270
3593.750000	-44.281693
3609.375000	-43.168201
3625.000000	-41.808990
3640.625000	-47.119354
3656.250000	-59.920010
3671.875000	-66.578827
3687.500000	-73.642662
3703.125000	-80.301933
3718.750000	-86.088348
3734.375000	-102.958107
3750.000000	-98.090096
3765.625000	-100.770020
3781.250000	-113.054886
3796.875000	-109.281578
3812.500000	-106.832832
3828.125000	-113.574997
3843.750000	-112.959442
3859.375000	-107.789223
3875.000000	-107.365189
3890.625000	-100.979515
3906.250000	-84.316750
3921.875000	-85.550255
3937.500000	-61.815205
3953.125000	-54.778603
3968.750000	-53.850887
3984.375000	-55.514538
4000.000000	-61.610485
4015.625000	-78.901711
4031.250000	-76.892632
4046.875000	-80.110199
4062.500000	-82.608757
4078.125000	-87.079605
4093.750000	-96.645157
4109.375000	-116.447281
4125.000000	-108.530220
4140.625000	-111.670197
4156.250000	-121.424431
4171.875000	-112.076714
4187.500000	-114.866386
4203.125000	-128.480011
4218.750000	-121.270515
